0;0;0;0;land;false;unknown;0
1;15;200;170;lake;false;lakes;0
2;14;200;170;lake;false;lakes;0
3;13;200;170;lake;false;lakes;0
4;12;200;170;lake;false;lakes;0
5;11;200;170;lake;false;lakes;0
6;10;200;170;lake;false;lakes;0
7;15;190;170;lake;false;lakes;0
8;14;190;170;lake;false;lakes;0
9;13;190;170;lake;false;lakes;0
10;12;190;170;lake;false;lakes;0
11;11;190;170;lake;false;lakes;0
12;10;190;170;lake;false;lakes;0
13;15;180;170;lake;false;lakes;0
14;14;180;170;lake;false;lakes;0
15;13;180;170;lake;false;lakes;0
16;12;180;170;lake;false;lakes;0
17;11;180;170;lake;false;lakes;0
18;10;180;170;lake;false;lakes;0
19;15;170;170;lake;false;lakes;0
20;14;170;170;lake;false;lakes;0
21;13;170;170;lake;false;lakes;0
22;12;170;170;lake;false;lakes;0
23;11;170;170;lake;false;lakes;0
24;10;170;170;lake;false;lakes;0
25;14;160;170;lake;false;lakes;0
26;13;160;170;lake;false;lakes;0
27;12;160;170;lake;false;lakes;0
28;11;160;170;lake;false;lakes;0
29;10;160;170;lake;false;lakes;0
30;15;150;170;lake;false;lakes;0
31;14;150;170;lake;false;lakes;0
32;13;150;170;lake;false;lakes;0
33;12;150;170;lake;false;lakes;0
34;11;150;170;lake;false;lakes;0
35;10;150;170;lake;false;lakes;0
36;15;140;170;lake;false;lakes;0
37;14;140;170;lake;false;lakes;0
38;13;140;170;lake;false;lakes;0
39;12;140;170;lake;false;lakes;0
40;11;140;170;lake;false;lakes;0
41;10;140;170;lake;false;lakes;0
42;15;130;170;lake;false;lakes;0
43;14;130;170;lake;false;lakes;0
44;13;130;170;lake;false;lakes;0
45;12;130;170;lake;false;lakes;0
46;11;130;170;lake;false;lakes;0
47;10;130;170;lake;false;lakes;0
48;15;120;170;lake;false;lakes;0
49;14;120;170;lake;false;lakes;0
50;13;120;170;lake;false;lakes;0
51;12;120;170;lake;false;lakes;0
52;11;120;170;lake;false;lakes;0
53;10;120;170;lake;false;lakes;0
54;15;110;170;lake;false;lakes;0
55;14;110;170;lake;false;lakes;0
56;13;110;170;lake;false;lakes;0
57;12;110;170;lake;false;lakes;0
58;11;110;170;lake;false;lakes;0
59;10;110;170;lake;false;lakes;0
60;15;100;170;lake;false;lakes;0
61;14;100;170;lake;false;lakes;0
62;13;100;170;lake;false;lakes;0
63;12;100;170;lake;false;lakes;0
64;11;100;170;lake;false;lakes;0
65;10;100;170;lake;false;lakes;0
66;15;90;170;lake;false;lakes;0
67;14;90;170;lake;false;lakes;0
68;13;90;170;lake;false;lakes;0
69;12;90;170;lake;false;lakes;0
70;11;90;170;lake;false;lakes;0
71;10;90;170;lake;false;lakes;0
72;15;80;170;lake;false;lakes;0
73;14;80;170;lake;false;lakes;0
74;13;80;170;lake;false;lakes;0
75;12;80;170;lake;false;lakes;0
76;11;80;170;lake;false;lakes;0
77;10;80;170;lake;false;lakes;0
78;15;70;170;lake;false;lakes;0
79;14;70;170;lake;false;lakes;0
80;13;70;170;lake;false;lakes;0
81;11;70;170;lake;false;lakes;0
82;10;70;170;lake;false;lakes;0
83;15;60;170;lake;false;lakes;0
84;14;60;170;lake;false;lakes;0
85;13;60;170;lake;false;lakes;0
86;11;60;170;lake;false;lakes;0
87;10;60;170;lake;false;lakes;0
88;15;50;170;lake;false;lakes;0
89;14;50;170;lake;false;lakes;0
90;13;50;170;lake;false;lakes;0
91;11;50;170;lake;false;lakes;0
92;15;40;170;lake;false;lakes;0
93;14;40;170;lake;false;lakes;0
94;13;40;170;lake;false;lakes;0
95;11;40;170;lake;false;lakes;0
96;15;30;170;lake;false;lakes;0
97;14;30;170;lake;false;lakes;0
98;13;30;170;lake;false;lakes;0
99;11;30;170;lake;false;lakes;0
100;15;20;170;lake;false;lakes;0
101;14;20;170;lake;false;lakes;0
102;13;20;170;lake;false;lakes;0
103;11;20;170;lake;false;lakes;0
104;10;20;170;lake;false;lakes;0
105;16;10;170;lake;false;lakes;0
106;15;10;170;lake;false;lakes;0
107;14;10;170;lake;false;lakes;0
108;13;10;170;lake;false;lakes;0
109;11;10;170;lake;false;lakes;0
110;10;10;170;lake;false;lakes;0
111;16;0;170;lake;false;lakes;0
112;15;0;170;lake;false;lakes;0
113;14;0;170;lake;false;lakes;0
